,product_name,product_price,product_rating,sold_quantity,category_name,scraped_date,Product Price(USD),Product Price(GBP),Product Price(EUR),Product Price(INR)
0,Premium German Silver Wine Set | Axia Krafts,1550.0,3.0,0.0,Wines,25/04/2024,11.61,9.31,10.76,968.75
1,Hinwa Sweet Red - 750 ml -By Cheers Online,810.0,4.3,4.0,Wines,25/04/2024,6.07,4.86,5.63,506.25
2,Nessy Wine a finest Nepali wine,650.0,0.0,0.0,Wines,25/04/2024,4.87,3.9,4.51,406.25
3,Calvares Tawny Port 750 Ml,2210.0,0.0,0.0,Wines,25/04/2024,16.56,13.27,15.35,1381.25
4,Lindeman's Bin 46 Sweet Red Wine - 750ML -By Cheers Online,1850.0,5.0,0.0,Wines,25/04/2024,13.86,11.11,12.85,1156.25
5,Hinwa Sweet White - 750 ml -By Cheers Online,810.0,4.3,0.0,Wines,25/04/2024,6.07,4.86,5.63,506.25
6,Divine White Wine 750 Ml,730.0,4.0,0.0,Wines,25/04/2024,5.47,4.38,5.07,456.25
7,Jacob's Creek Classic Shiraz Cabernet 750ML,1875.0,0.0,0.0,Wines,25/04/2024,14.05,11.26,13.02,1171.88
8,Big Master Mix Fruit White Wine -750ml,825.0,5.0,0.0,Wines,25/04/2024,6.18,4.95,5.73,515.62
9,"Calvet Bordeaux Merlot Cabernet Sauvignon Red Wine, 750ml -By Cheers Online",2000.0,4.3,0.0,Wines,25/04/2024,14.98,12.01,13.89,1250.0
10,Hardys Nottage Hill Chardonnay - 750 ml -By Cheers Online,1875.0,5.0,0.0,Wines,25/04/2024,14.05,11.26,13.02,1171.88
11,Robertson Winery Natural Sweet White -750ml,1550.0,5.0,0.0,Wines,25/04/2024,11.61,9.31,10.76,968.75
12,Lindeman's Bin 85 Pinot Grigio White Wine - 750ML -By Cheers Online,2100.0,5.0,0.0,Wines,25/04/2024,15.73,12.61,14.58,1312.5
13,Lindeman's Bin 45 Cabernet Sauvignon Red Wine - 750ML -By Cheers Online,2100.0,4.5,0.0,Wines,25/04/2024,15.73,12.61,14.58,1312.5
14,Bottega Acino Chianti DOCG Red Wine 750ML -By Cheers Online,2300.0,4.0,0.0,Wines,25/04/2024,17.23,13.81,15.97,1437.5
15,Hakodate Niagara - Japanese Wine  720ml,2410.0,4.0,0.0,Wines,25/04/2024,18.06,14.47,16.74,1506.25
16,Bottega Merlot IGT Trevenezie Red Wine 750ML -By Cheers Online,2300.0,5.0,0.0,Wines,25/04/2024,17.23,13.81,15.97,1437.5
17,Bottega Acino Chianti Classico DOCG Red Wine 750ML -By Cheers Online,4000.0,3.0,0.0,Wines,25/04/2024,29.97,24.02,27.78,2500.0
18,Bottega Cabernet Sauvignon IGT Trevenezie Red Wine 750ML -By Cheers Online,2300.0,0.0,0.0,Wines,25/04/2024,17.23,13.81,15.97,1437.5
19,Porto Valdouro Tawny Port Wine 750ml,2500.0,0.0,0.0,Wines,25/04/2024,18.73,15.01,17.36,1562.5
20,Pocari Sweat Powder - 740 gm,3800.0,0.0,0.0,Wines,25/04/2024,28.47,22.82,26.39,2375.0
21,Hardys VR Sweet Red - 750 ml -By Cheers Online,1850.0,0.0,0.0,Wines,25/04/2024,13.86,11.11,12.85,1156.25
22,Hardys Nottage Hill Shiraz 750ml,1695.0,0.0,0.0,Wines,25/04/2024,12.7,10.18,11.77,1059.38
23,Bottega Cabernet Sauvignon 750ml,2495.0,0.0,0.0,Wines,25/04/2024,18.69,14.98,17.33,1559.38
24,Akira Sweet Red Wine 750 ML,825.0,0.0,0.0,Wines,25/04/2024,6.18,4.95,5.73,515.62
25,Royal Big Master Perfect Fruit Sweet Red Wine Premium 750,925.0,0.0,0.0,Wines,25/04/2024,6.93,5.56,6.42,578.12
26,Jc Carbenet Sauvigon 750 Ml,1785.0,0.0,0.0,Wines,25/04/2024,13.37,10.72,12.4,1115.62
27,Jc Grenache Shiraz 750 Ml,1785.0,0.0,0.0,Wines,25/04/2024,13.37,10.72,12.4,1115.62
28,Royal Big Master Perfect Fruit Red Wine 750,850.0,0.0,0.0,Wines,25/04/2024,6.37,5.1,5.9,531.25
29,Villa Cardini Nero D'Avola Red Wine - 750ML -By Cheers Online,1850.0,0.0,0.0,Wines,25/04/2024,13.86,11.11,12.85,1156.25
30,Lindeman's Bin 50 Shiraz Red Wine - 750ML -By Cheers Online,2100.0,0.0,0.0,Wines,25/04/2024,15.73,12.61,14.58,1312.5
31,Royal Big Master Regular Perfect Fruit Sweet Red Wine 750Ml,885.0,0.0,0.0,Wines,25/04/2024,6.63,5.31,6.15,553.12
32,Divine Wine 750 Ml,700.0,0.0,0.0,Wines,25/04/2024,5.24,4.2,4.86,437.5
33,Lindeman's Bin 40 Merlot Red Wine - 750ML -By Cheers Online,2100.0,0.0,0.0,Wines,25/04/2024,15.73,12.61,14.58,1312.5
34,JP Chenet Fashion Flavoured Wine - 750ML -By Cheers Online,1950.0,0.0,0.0,Wines,25/04/2024,14.61,11.71,13.54,1218.75
35,Lindeman's Bin 99 Pinot Noir Red Wine - 750ML -By Cheers Online,2100.0,0.0,0.0,Wines,25/04/2024,15.73,12.61,14.58,1312.5
36,Big Master Mix Fruit Wine 750 ML,825.0,0.0,0.0,Wines,25/04/2024,6.18,4.95,5.73,515.62
37,JP Chenet Fashion Peach-750ml,1810.0,0.0,0.0,Wines,25/04/2024,13.56,10.87,12.57,1131.25
38,Bottega Pinot Grigo Venezia 750ml,2495.0,0.0,0.0,Wines,25/04/2024,18.69,14.98,17.33,1559.38
39,Maison Castel Chardonnay Blanc 750 Ml,1950.0,0.0,0.0,Wines,25/04/2024,14.61,11.71,13.54,1218.75
40,Arna 8 330Ml,175.0,0.0,0.0,Beer,25/04/2024,1.31,1.05,1.22,109.38
41,Gorkha Strong Can Beer 500ml 12pcs,3255.0,5.0,0.0,Beer,25/04/2024,24.39,19.55,22.61,2034.38
42,Gorkha Strong Can Beer 500ml,265.0,0.0,0.0,Beer,25/04/2024,1.99,1.59,1.84,165.62
43,Arna 8 650Ml,330.0,0.0,0.0,Beer,25/04/2024,2.47,1.98,2.29,206.25
44,Tuborg Gold Premium Beer 330,220.0,0.0,0.0,Beer,25/04/2024,1.65,1.32,1.53,137.5
45,Tuborg Gold Premium Beer 650,425.0,0.0,0.0,Beer,25/04/2024,3.18,2.55,2.95,265.62
46,Tuborg Gold Premium Beer Can Beer 500,335.0,0.0,0.0,Beer,25/04/2024,2.51,2.01,2.33,209.38
47,San Soju - 300ML -By Cheers Online,170.0,4.7,2.0,Spirits,25/04/2024,1.27,1.02,1.18,106.25
48,Tuborg Gold Premium Can Beer 500ml,325.0,0.0,0.0,Beer,25/04/2024,2.43,1.95,2.26,203.12
49,Old Marphali Apple Brandy 750ml,1300.0,4.5,0.0,Spirits,25/04/2024,9.74,7.81,9.03,812.5
50,Barahsinghe Pilsner Beer Yak Beer 650,395.0,0.0,0.0,Beer,25/04/2024,2.96,2.37,2.74,246.88
51,Khukri Coronation Domestic Rum - 375ML -By Cheers Online,2700.0,4.9,5.0,Spirits,25/04/2024,20.23,16.22,18.75,1687.5
52,Tuborg Can Beer 500ml 12pcs,4050.0,0.0,0.0,Beer,25/04/2024,30.34,24.32,28.13,2531.25
53,Seagram's Royal Stag Whisky - 750ML -By Cheers Online,2000.0,5.0,0.0,Spirits,25/04/2024,14.98,12.01,13.89,1250.0
54,"Pasabahce Beer Mug, Pub,355 ml, Set of 2",875.0,0.0,0.0,Beer,25/04/2024,6.56,5.25,6.08,546.88
55,Limpa Mitho 750ML 30UP Marpha Apple Brandy,950.0,5.0,0.0,Spirits,25/04/2024,7.12,5.71,6.6,593.75
56,Carlsberg Danish Pilsner Can Beer 500ml,310.0,0.0,0.0,Beer,25/04/2024,2.32,1.86,2.15,193.75
57,8848 Rye Vodka x Tsherin Sherpa - 750ML -By Cheers Online,2400.0,5.0,0.0,Spirits,25/04/2024,17.98,14.41,16.67,1500.0
58,Barahsinghe Pilsner Beer Yak Can Beer 500,310.0,0.0,0.0,Beer,25/04/2024,2.32,1.86,2.15,193.75
59,Old Marphali Apple Brandy 180ml,335.0,5.0,0.0,Spirits,25/04/2024,2.51,2.01,2.33,209.38
60,Nepal Ice Can Beer 500ml 12pcs,3255.0,0.0,0.0,Beer,25/04/2024,24.39,19.55,22.61,2034.38
61,Old Durbar Black Chimney Whisky - 1L -By Cheers Online,4635.0,5.0,3.0,Spirits,25/04/2024,34.72,27.84,32.19,2896.88
62,Arna Wild Himalayan Beer 650 ML,330.0,0.0,0.0,Beer,25/04/2024,2.47,1.98,2.29,206.25
63,Old Durbar Reserve Whisky - 750ml -By Cheers Online,2775.0,4.9,9.0,Spirits,25/04/2024,20.79,16.67,19.27,1734.38
64,Tuborg Premium Beer Gold 500Ml,475.0,0.0,0.0,Beer,25/04/2024,3.56,2.85,3.3,296.88
65,Old Durbar Reserve Whisky - 1L -By Cheers Online,3515.0,4.6,5.0,Spirits,25/04/2024,26.33,21.11,24.41,2196.88
66,"Pasabahce Craft Beer  455ml, Set of 4",1185.0,0.0,0.0,Beer,25/04/2024,8.88,7.12,8.23,740.62
67,Old Durbar 12yrs Blended Scotch Artwork by Lok Chitrakar - 750ML -By Cheers Online,5000.0,5.0,0.0,Spirits,25/04/2024,37.46,30.03,34.72,3125.0
68,Gorkha Strong Beer 650 Ml,320.0,0.0,0.0,Beer,25/04/2024,2.4,1.92,2.22,200.0
69,Marpha Mustang Apple Brandy - 750ML -By Cheers Online,1050.0,4.2,1.0,Spirits,25/04/2024,7.87,6.31,7.29,656.25
70,Dragon Strong Beer 650 ML,290.0,0.0,0.0,Beer,25/04/2024,2.17,1.74,2.01,181.25
71,Highlander Vodka 750 Ml,1080.0,0.0,0.0,Spirits,25/04/2024,8.09,6.49,7.5,675.0
72,Arna (8) Beer 330 Ml,170.0,0.0,0.0,Beer,25/04/2024,1.27,1.02,1.18,106.25
73,8848 Vodka -375ML,1075.0,0.0,0.0,Spirits,25/04/2024,8.05,6.46,7.47,671.88
74,Budweiser 650ml,400.0,0.0,0.0,Beer,25/04/2024,3.0,2.4,2.78,250.0
75,Khukuri XXX Domestic Rum - 750ML -By Cheers Online,2050.0,4.6,4.0,Spirits,25/04/2024,15.36,12.31,14.24,1281.25
76,Tuborg Gold Premium Can Beer 500 ML,320.0,0.0,0.0,Beer,25/04/2024,2.4,1.92,2.22,200.0
77,"8848 Vodka, 750ml -By Cheers Online",2145.0,5.0,6.0,Spirits,25/04/2024,16.07,12.88,14.9,1340.62
78,Budweiser Beer 330 Ml,195.0,0.0,0.0,Beer,25/04/2024,1.46,1.17,1.35,121.88
79,Khukri XXX Rum 375ml,1020.0,4.8,0.0,Spirits,25/04/2024,7.64,6.13,7.08,637.5
80,Tuborg Gold Premium Beer 650ml,425.0,0.0,0.0,Beer,25/04/2024,3.18,2.55,2.95,265.62
81,Mustang Gold Whisky - 750ML -By Cheers Online,1200.0,5.0,0.0,Spirits,25/04/2024,8.99,7.21,8.33,750.0
82,Tuborg Beer 330 Ml,215.0,0.0,0.0,Beer,25/04/2024,1.61,1.29,1.49,134.38
83,Johnnie Walker Black Label Premium Whisky - 750ML -By Cheers Online,6900.0,5.0,4.0,Spirits,25/04/2024,51.69,41.44,47.92,4312.5
84,Carlsberg Danish Pilsner Can Beer 500ml Set of 12,4380.0,0.0,0.0,Beer,25/04/2024,32.81,26.3,30.42,2737.5
85,Jack Daniel's Fire Tennessee Whisky - 750 ml -By Cheers Online,6245.0,5.0,0.0,Spirits,25/04/2024,46.79,37.51,43.37,3903.12
86,Gorkha Extra Strong 330 Ml,165.0,0.0,0.0,Beer,25/04/2024,1.24,0.99,1.15,103.12
87,Kala Patthar Whiskey 750ml,2700.0,5.0,0.0,Spirits,25/04/2024,20.23,16.22,18.75,1687.5
88,Arna Wild Himalayan Beer 330 ML,175.0,0.0,0.0,Beer,25/04/2024,1.31,1.05,1.22,109.38
89,Baron Select Extra Premium Whisky 750Ml,1240.0,0.0,0.0,Spirits,25/04/2024,9.29,7.45,8.61,775.0
90,Gorkha Extra Strong Beer 330 ML,175.0,0.0,0.0,Beer,25/04/2024,1.31,1.05,1.22,109.38
91,Signature Red Preminium Grain Whisky 750Ml,2700.0,0.0,0.0,Spirits,25/04/2024,20.23,16.22,18.75,1687.5
92,Gorkha Strong Can Beer 500 ML,290.0,0.0,0.0,Beer,25/04/2024,2.17,1.74,2.01,181.25
93,Yarchagumba Beverage Golden Sapphire 750ML -By Cheers Online,11000.0,4.3,3.0,Spirits,25/04/2024,82.41,66.06,76.39,6875.0
94,Carslberg Can Beer 500 Ml,350.0,0.0,0.0,Beer,25/04/2024,2.62,2.1,2.43,218.75
95,Himalayan Brandy - 750ML -By Cheers Online,1950.0,4.3,0.0,Spirits,25/04/2024,14.61,11.71,13.54,1218.75
96,Tuborg Gold Premium Beer 650 ML,425.0,0.0,0.0,Beer,25/04/2024,3.18,2.55,2.95,265.62
97,Khukri Rum 180Ml,510.0,4.0,0.0,Spirits,25/04/2024,3.82,3.06,3.54,318.75
98,Gorkha Strong Beer 650 ML,330.0,0.0,0.0,Beer,25/04/2024,2.47,1.98,2.29,206.25
99,Old Durbar Black Chimney 180,850.0,3.8,0.0,Spirits,25/04/2024,6.37,5.1,5.9,531.25
100,Tuborg Beer 650 Ml,425.0,0.0,0.0,Beer,25/04/2024,3.18,2.55,2.95,265.62
101,Simirnoff Ten Time Filter Vodka 750Ml,2050.0,5.0,0.0,Spirits,25/04/2024,15.36,12.31,14.24,1281.25
102,Budweiser Beer 650 Ml,390.0,0.0,0.0,Beer,25/04/2024,2.92,2.34,2.71,243.75
103,Old Monk XXX Rum - 750ml -By Cheers Online,1950.0,5.0,3.0,Spirits,25/04/2024,14.61,11.71,13.54,1218.75
104,Barahsinghe Pale Ale Yak Craft Beer 650Ml,435.0,0.0,0.0,Beer,25/04/2024,3.26,2.61,3.02,271.88
105,Yeti Vodka - 750ML -By Cheers Online,2260.0,4.7,0.0,Spirits,25/04/2024,16.93,13.57,15.7,1412.5
106,Tuborg Can Beer 500 Ml,325.0,0.0,0.0,Beer,25/04/2024,2.43,1.95,2.26,203.12
107,Gurkhas and Guns Finest Blended Whisky - 750ML -By Cheers Online,3080.0,5.0,5.0,Spirits,25/04/2024,23.07,18.5,21.39,1925.0
108,Carslberg Beer 650 Ml,450.0,0.0,0.0,Beer,25/04/2024,3.37,2.7,3.13,281.25
109,Old Durbar Black Chimney Whisky - 750 ml -By Cheers Online,3650.0,4.8,3.0,Spirits,25/04/2024,27.34,21.92,25.35,2281.25
110,Arna 8 Beer 330Ml,175.0,5.0,4.0,Beer,25/04/2024,1.31,1.05,1.22,109.38
111,Bandipur Blended Malt Scotch Whisky - 750ML -By Cheers Online,4950.0,5.0,0.0,Spirits,25/04/2024,37.08,29.73,34.38,3093.75
112,Craft Beer Barahsinghe Pilsner Beer 650ml Set of 12,4670.0,0.0,0.0,Beer,25/04/2024,34.99,28.05,32.43,2918.75
113,Minsk Apple 750Ml,1200.0,5.0,0.0,Spirits,25/04/2024,8.99,7.21,8.33,750.0
114,"Baileys Original, 1ltr -By Cheers Online",7300.0,4.0,0.0,Spirits,25/04/2024,54.69,43.84,50.7,4562.5
115,Khukuri White Domestic Rum - 750ML -By Cheers Online,2400.0,1.0,0.0,Spirits,25/04/2024,17.98,14.41,16.67,1500.0
116,Old Durbar Black Chimney Blended Reserve Whisky -750ml,3650.0,4.7,0.0,Spirits,25/04/2024,27.34,21.92,25.35,2281.25
117,"Captain Morgan Spiced Gold Rum, 1L -By Cheers Online",6700.0,5.0,0.0,Spirits,25/04/2024,50.19,40.24,46.53,4187.5
118,Malibu Coconut Rum - 1L -By Cheers Online,7150.0,5.0,0.0,Spirits,25/04/2024,53.57,42.94,49.66,4468.75
119,Jack Daniel's Tennessee Whisky - 1 ltr -By Cheers Online,8160.0,4.3,0.0,Spirits,25/04/2024,61.13,49.01,56.67,5100.0
120,The Himalayan Reserve Whisky - 750ML -By Cheers Online,3400.0,5.0,0.0,Spirits,25/04/2024,25.47,20.42,23.61,2125.0
121,Johnnie Walker Red Label Premium Whisky - 1L -By Cheers Online,6990.0,4.7,0.0,Spirits,25/04/2024,52.37,41.98,48.55,4368.75
122,Old Durbar Two Continents 750,2700.0,5.0,0.0,Spirits,25/04/2024,20.23,16.22,18.75,1687.5
123,Absolut Vodka -1ltr,6550.0,5.0,0.0,Spirits,25/04/2024,49.07,39.34,45.49,4093.75
124,San Soju 300Ml,220.0,5.0,0.0,Spirits,25/04/2024,1.65,1.32,1.53,137.5
125,Finlandia Regular - 750 ml -By Cheers Online,4650.0,5.0,0.0,Spirits,25/04/2024,34.84,27.93,32.29,2906.25
126,Signature Rare Aged Whisky 1L,3055.0,5.0,0.0,Spirits,25/04/2024,22.89,18.35,21.22,1909.38
127,Signature Premier Grain Whisky - 1L -By Cheers Online,3470.0,4.0,0.0,Spirits,25/04/2024,26.0,20.84,24.1,2168.75
128,Password  Whisky Full 750Ml,1365.0,3.0,0.0,Spirits,25/04/2024,10.23,8.2,9.48,853.12
129,Gurkha And Guns Finest Blended Whisky 750Ml,2950.0,5.0,0.0,Spirits,25/04/2024,22.1,17.72,20.49,1843.75
130,Old Durbar Reserve -1L,3515.0,5.0,0.0,Spirits,25/04/2024,26.33,21.11,24.41,2196.88
131,Emperor Half  Whisky 375Ml,580.0,1.0,0.0,Spirits,25/04/2024,4.35,3.48,4.03,362.5
132,Glanfeddich 1 Ltr 12 Yrs,8200.0,0.0,0.0,Spirits,25/04/2024,61.43,49.25,56.95,5125.0
133,Glenfiddich Whiskey 12yrs -1L,12740.0,5.0,0.0,Spirits,25/04/2024,95.45,76.51,88.48,7962.5
134,Johnnie Walker Double Black  Whisky -1L,10500.0,5.0,0.0,Spirits,25/04/2024,78.66,63.06,72.92,6562.5
135,Johnnie Walker Gold Label  Whisky -750ML,10500.0,5.0,0.0,Spirits,25/04/2024,78.66,63.06,72.92,6562.5
136,Limpa Apricot Brandy 750ml By World Marpha Wine Udhyog Pvt.Ltd,1175.0,0.0,0.0,Spirits,25/04/2024,8.8,7.06,8.16,734.38
137,Signature Rare 750Ml,2100.0,0.0,0.0,Spirits,25/04/2024,15.73,12.61,14.58,1312.5
138,Limoncino Liquor Bottega 30% Cl50 - 500 ml,4500.0,0.0,0.0,Spirits,25/04/2024,33.71,27.03,31.25,2812.5
139,"Chivas Regal 12yrs Whisky, 1L -By Cheers Online",9000.0,0.0,0.0,Spirits,25/04/2024,67.43,54.05,62.5,5625.0
140,San Soju 300ml 7pcs,1190.0,0.0,0.0,Spirits,25/04/2024,8.92,7.15,8.26,743.75
141,Latte Macchiato Liquore Bottega 15%Cl50 - 500 ml,4800.0,0.0,0.0,Spirits,25/04/2024,35.96,28.83,33.34,3000.0
142,Snowman Gin - 750ML -By Cheers Online,2400.0,0.0,0.0,Spirits,25/04/2024,17.98,14.41,16.67,1500.0
143,Blue Daimand 375 Ml,560.0,0.0,0.0,Spirits,25/04/2024,4.2,3.36,3.89,350.0
144,Bombay Sapphire London Dry Gin 1000 Ml,5400.0,0.0,0.0,Spirits,25/04/2024,40.46,32.43,37.5,3375.0
145,Choya Umeshu Shiso Fruit Liqueur - 750Ml,5350.0,0.0,0.0,Spirits,25/04/2024,40.08,32.13,37.16,3343.75
146,Courvoisier VSOP Fine Cognac - 500 ml -By Cheers Online,6520.0,0.0,0.0,Spirits,25/04/2024,48.85,39.16,45.28,4075.0
147,Jagermeister 200ML,1600.0,0.0,0.0,Spirits,25/04/2024,11.99,9.61,11.11,1000.0
148,Gilbey's 1857 Special Dry Gin - 1 ltr -By Cheers Online,6500.0,0.0,0.0,Spirits,25/04/2024,48.7,39.04,45.14,4062.5
149,Ginger Liqueur Bottega 25% Cl 50 - 500 ml,4500.0,0.0,0.0,Spirits,25/04/2024,33.71,27.03,31.25,2812.5
150,Soju Good Day Original 360 ml,1300.0,0.0,0.0,Spirits,25/04/2024,9.74,7.81,9.03,812.5
151,Bottega Bacur Gin (700ml),6950.0,0.0,0.0,Spirits,25/04/2024,52.07,41.74,48.27,4343.75
152,Blue Daimand 750 Ml,1120.0,0.0,0.0,Spirits,25/04/2024,8.39,6.73,7.78,700.0
153,Blue Daimand 180 Ml,280.0,0.0,0.0,Spirits,25/04/2024,2.1,1.68,1.94,175.0
154,Dewazakura  180Ml,1210.0,0.0,0.0,Spirits,25/04/2024,9.07,7.27,8.4,756.25
155,Highlander Pure White Vodka 750,1140.0,0.0,0.0,Spirits,25/04/2024,8.54,6.85,7.92,712.5
156,Beefeater London Dry Gin 750ML,5305.0,0.0,0.0,Spirits,25/04/2024,39.74,31.86,36.84,3315.62
